title,heading,content,tokens
Australia,NATIONAL SOIL CARBON INNOVATION CHALLENGE,"Australia's NATIONAL SOIL CARBON INNOVATION CHALLENGE (2022 - 2025). Australia launched the three year AUD 40 million EUR 24 5 million initiative to identify and fast track low cost accurate technological solutions for measuring soil carbon It has the following objectives: Building the capacity for measurement reporting and verification MRV of farm level emissions can help to pave the way for the introduction of carbon pricing policiesIt uses Grants for business R&D and innovation, Grants for business R&D and innovation as policy instruments. and it has a budget of 5M-20M euros.",91
Australia,SOIL CARBON DATA PROGRAM,Australia's SOIL CARBON DATA PROGRAM (2020 - 2025). Five year AUD 7 million EUR 4 3 million programme that supports partnerships between scientists industry and landholders to improve soil organic carbon data and measurement approaches It has the following objectives: To improve soil carbon data build confidence in low cost alternatives for measuring and estimating soil carbon and contribute to a national soil data repositoryIt uses Procurement programmes for R&D and innovation as policy instruments. and it has a budget of 1M-5M euros.,83
Australia,LOW EMISSIONS TECHNOLOGY STATEMENT,"Australia's LOW EMISSIONS TECHNOLOGY STATEMENT (2021 - Ongoing). Second annual statement released under the roadmap outlining priorities for government investments in new and emerging technologies The government is seeking submissions to inform development for the third statement It has the following objectives: To identify technological solutions for reducing methane emissions from livestockIt uses Strategies, agendas and plans, Policy intelligence (e.g. evaluations, benchmarking and forecasts) as policy instruments.",67
Australia,METHANE EMISSIONS REDUCTION IN LIVESTOCK STAGE 1 MERIL STAGE 1 GRANTS PROGRAMME,Australia's METHANE EMISSIONS REDUCTION IN LIVESTOCK STAGE 1 MERIL STAGE 1 GRANTS PROGRAMME (2021 - 2024). The three year AUD 6 million EUR 3 7 million grants programme supports trials of new br livestock feed technologies that reduce emissions and may increase productivity from cattle and sheep The programme provides grants of between AUD 500 000 and AUD 1 5 million EUR 305 000 to EUR 0 92 million to assess the emissions reduction and productivity benefits of these technologies It has the following objectives: Development of innovative livestock feed technological solutionsIt uses Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.,109
Australia,METHANE EMISSIONS REDUCTION IN LIVESTOCK STAGES 2 AND 3 MERIL STAGES 2 AND 3 PROGRAMME,"Australia's METHANE EMISSIONS REDUCTION IN LIVESTOCK STAGES 2 AND 3 MERIL STAGES 2 AND 3 PROGRAMME (2021 - 2026). Five year AUD 23 million EUR 14 1 million programme supporting development of low emission feed supplement delivery technologies to reduce enteric methane emissions from grazing cattle and sheep AUD 20 million EUR 12 2 million is available for grants to develop and determine the feasibility of proposed delivery technologies Stage 2 and undertake large scale trials to validate them and demonstrate emissions reduction and productivity impacts Stage 3 It has the following objectives: Fast track the development and commercial readiness of technology solutions to deliver low br emission feed supplements to grazing animals Collect data on the productivity and abatement impacts from low emissions feed supplements delivered using technology solutions to grazing animalsIt uses Project grants for public research, Project grants for public research as policy instruments. and it has a budget of 1M-5M euros.",155
Australia,TECHNOLOGY INVESTMENT ROADMAP,"Australia's TECHNOLOGY INVESTMENT ROADMAP (2022 - Ongoing). This roadmap sets a process to develop and deploy low emissions technologies It has the following objectives: Deliver low cost clean and reliable energy to households and industry Increase productivity create jobs and substantially reduce emissions from Australias primary industries Expand Australian manufacturing and capture new export markets for low emissions commodities Help Australia store carbon dioxide in soils plants and underground reservoirsIt uses Policy intelligence (e.g. evaluations, benchmarking and forecasts) as policy instruments.",81
Australia,NATIONAL AGRICULTURAL INNOVATION AGENDA,Australia's NATIONAL AGRICULTURAL INNOVATION AGENDA (2020 - 2021). The National Agricultural Innovation Agenda NAIA announced in September 2020 sets out a plan to modernise Australias agricultural innovation system and support the sector in reaching its AUD 100 billion USD 75 1 billion target by 2030 It has the following objectives: Strengthening ecosystem leadership cohesion and culture through clear strategic direction and increased collaboration Improving the balance of funding and investment to deliver both incremental and Transformational innovation and growing private sector and international investment Embedding world class innovation practices through greater transparency and entrepreneurship Strengthening our regions to achieve greater uptake of innovation Creating the next generation innovation platform by improving the foundations of agricultural innovation including data and regulatory settingsIt uses nan as policy instruments.,126
Brazil,PLAN FOR ADAPTATION AND LOW CARBON EMISSION IN AGRICULTURE,"Brazil's PLAN FOR ADAPTATION AND LOW CARBON EMISSION IN AGRICULTURE (2020 - 2030). The new version of the ABC Plan the ABC 2020 2030 will establish new and reinvigorated sustainable strategies specifically adapted for all Brazilian biomes deeply br rooted in science based technological innovation for sustainable food production It has the following objectives: To modernise sustainable production systems and mitigate emissions through Low Carbon Emission Agriculture To finances technological packages with a specific focus on mitigating emissions To strengthen initiatives for technology transfer and diffusion training and technical assistance To encourage and support applied research for development or improvement of Sustainable Systems Practices Products and Production ProcessesIt uses Strategies, agendas and plans, Project grants for public research, Grants for business R&D and innovation, Technology extension and business advisory services as policy instruments.",133
Canada,ON FARM CLIMATE ACTION FUND,Canada's ON FARM CLIMATE ACTION FUND (2021 - Ongoing). First announced in Budget 2021 the 200 million On Farm Climate Action Fund is an initiative to help farmers tackle climate change It has the following objectives: The objective of the Fund is to support farmers in adopting beneficial management practices BMPs that store carbon and reduce greenhouse gases specifically in the areas of nitrogen management cover cropping and rotational grazing practicesIt uses Project grants for public research as policy instruments.,80
Canada,AGRICULTURAL CLEAN TECHNOLOGY PROGRAMME,Canada's AGRICULTURAL CLEAN TECHNOLOGY PROGRAMME (2021 - Ongoing). Agricultural Clean Technology ACT Program aims to create an enabling environment for the development and adoption of clean technology that will help drive the changes required to achieve a low carbon economy and promote sustainable growth in Canadas agriculture and agri food sector br br The ACT Program offers support under 2 streams br Adoption Stream br Research and Innovation Stream It has the following objectives: Support pre market innovation including research development demonstration and commercialization activities to develop transformative clean technologies and enable the expansion of current technologies in 3 priority areas Green energy and energy efficiency Precision agriculture and Bioeconomy Support the purchase and installation of commercially available clean technologies and processes with a priority given to those that show evidence of reducing greenhouse gas GHG emissions and other environmental co benefitsIt uses Grants for business R&D and innovation as policy instruments. and it has a budget of 100M-500M euros.,160
